編號,模組,測試方法,輸入/操作,預期輸出,真實輸出,測試結論
TC-047,使用者登入模組,場景法,未登入存取需登入頁(checkout),導向登入或提示,,
TC-048,使用者登入模組,等價類,連續多次錯誤密碼,持續提示錯誤(觀察是否鎖定),,
TC-049,使用者登入模組,等價類,已刪除帳號再登入,登入失敗，提示帳密錯誤,,
TC-050,使用者登入模組,相容性,於 Chrome 登入,功能正常,,
TC-051,使用者登入模組,相容性,於 Firefox 登入,功能正常,,
TC-052,使用者登入模組,相容性,於行動裝置寬度登入,版面正常可操作,,
TC-053,使用者登入模組,等價類,密碼含特殊字元(正確),登入成功,,
TC-054,使用者登入模組,邊界值,Email 超長(100+字元),登入失敗不崩潰,,
TC-055,使用者登入模組,場景法,登入後加入購物車再登出,購物車狀態依規則處理,,
TC-056,使用者登入模組,等價類,瀏覽器自動填入帳密登入,可成功登入,,
TC-057,使用者登入模組,等價類,複製貼上帳密登入,可成功登入,,
TC-058,使用者登入模組,場景法,登入頁同時測 Signup 區塊互不干擾,兩表單獨立運作,,
TC-059,商品搜尋模組,等價類,搜尋有效關鍵字 top,顯示相關商品清單,,
TC-060,商品搜尋模組,等價類,搜尋有效關鍵字 dress,顯示相關商品清單,,
TC-061,商品搜尋模組,等價類,搜尋有效關鍵字 jeans,顯示相關商品清單,,
TC-062,商品搜尋模組,邊界值,搜尋框空白直接送出,顯示全部或提示輸入關鍵字,,
TC-063,商品搜尋模組,等價類,搜尋不存在關鍵字 zzzzz,顯示無結果或空清單,,
TC-064,商品搜尋模組,等價類,搜尋部分關鍵字 to,顯示符合的商品,,
TC-065,商品搜尋模組,等價類,大小寫混合 ToP,結果與小寫一致(不分大小寫),,
TC-066,商品搜尋模組,邊界值,關鍵字前後含空白,trim 後正常搜尋,,
TC-067,商品搜尋模組,邊界值,單一字元 a,顯示包含 a 的商品,,
TC-068,商品搜尋模組,邊界值,超長關鍵字(200+字元),正常處理不崩潰,,
TC-069,商品搜尋模組,等價類,純數字關鍵字 123,顯示結果或無結果,,
TC-070,商品搜尋模組,等價類,含特殊字元 @#$,正常處理不崩潰,,
TC-071,商品搜尋模組,安全性,輸入 <script>alert(1)</script>,被轉義不執行腳本,,
TC-072,商品搜尋模組,安全性,輸入 ' OR '1'='1,不外洩錯誤，安全處理,,
TC-073,商品搜尋模組,等價類,中文關鍵字搜尋,正確處理不亂碼,,
TC-074,商品搜尋模組,場景法,搜尋後顯示 Searched Products 標題,正確顯示標題與結果數,,
TC-075,商品搜尋模組,場景法,搜尋結果點 View Product,進入商品詳情頁,,
TC-076,商品搜尋模組,場景法,搜尋結果加入購物車,成功加入並可於購物車看到,,
TC-077,商品搜尋模組,等價類,含前後空白關鍵字搜尋,正確 trim 並搜尋,,
TC-078,商品搜尋模組,等價類,關鍵字含大量空白,正常處理,,
TC-079,商品搜尋模組,場景法,重複送出同一搜尋,結果一致,,
TC-080,商品搜尋模組,場景法,搜尋後再清空重新搜尋,結果正確更新,,
TC-081,商品搜尋模組,相容性,行動裝置寬度搜尋,版面正常可操作,,
TC-082,商品搜尋模組,等價類,搜尋品牌名稱(如 Polo),顯示相關商品,,
TC-083,商品搜尋模組,等價類,搜尋類別字 men/women,顯示相關商品,,
TC-084,商品瀏覽與詳情模組,場景法,點 Products 進入商品列表,顯示 All Products 清單,,
TC-085,商品瀏覽與詳情模組,場景法,點任一商品 View Product,進入商品詳情頁,,
TC-086,商品瀏覽與詳情模組,等價類,詳情頁顯示名稱/價格/類別,資訊完整正確顯示,,
TC-087,商品瀏覽與詳情模組,等價類,詳情頁顯示 Availability/Condition/Brand,資訊正確顯示,,
TC-088,商品瀏覽與詳情模組,邊界值,詳情頁數量輸入 1,可加入購物車,,
TC-089,商品瀏覽與詳情模組,邊界值,詳情頁數量輸入 0,拒絕或提示無效數量,,
TC-090,商品瀏覽與詳情模組,邊界值,詳情頁數量輸入負數,拒絕或提示無效,,
TC-091,商品瀏覽與詳情模組,邊界值,詳情頁數量輸入很大值(999),正常處理不崩潰,,
TC-092,商品瀏覽與詳情模組,等價類,詳情頁數量輸入非數字,拒絕或提示,,
TC-093,商品瀏覽與詳情模組,場景法,詳情頁 Add to cart 指定數量,購物車數量與輸入相符,,
TC-094,商品瀏覽與詳情模組,場景法,左側 Category 展開 Women,顯示子類別,,
TC-095,商品瀏覽與詳情模組,場景法,點 Category 子類別,顯示該類別商品,,
TC-096,商品瀏覽與詳情模組,場景法,右側 Brands 點任一品牌,顯示該品牌商品,,
TC-097,商品瀏覽與詳情模組,等價類,商品圖片正常載入,圖片顯示不破圖,,
TC-098,商品瀏覽與詳情模組,場景法,撰寫商品評論 Write Your Review,提交後顯示成功訊息,,
TC-099,商品瀏覽與詳情模組,等價類,評論 Name/Email/Review 空白送出,必填提示,,
TC-100,商品瀏覽與詳情模組,安全性,評論欄輸入 XSS 字串,被轉義不執行,,
TC-101,商品瀏覽與詳情模組,場景法,詳情頁回上一頁返回列表,正確返回,,
TC-102,商品瀏覽與詳情模組,場景法,商品列表捲動載入更多,商品正常顯示,,
TC-103,商品瀏覽與詳情模組,相容性,行動裝置瀏覽商品列表,版面 RWD 正常,,
TC-104,商品瀏覽與詳情模組,場景法,點 View Cart 連結,進入購物車頁,,
TC-105,商品瀏覽與詳情模組,等價類,價格顯示含貨幣符號,格式正確,,
TC-106,商品瀏覽與詳情模組,場景法,Recommended items 區塊加入購物車,成功加入,,
TC-107,商品瀏覽與詳情模組,場景法,首頁輪播/分類導覽連結,可正常導覽,,
TC-108,商品瀏覽與詳情模組,場景法,Home 連結返回首頁,正確返回首頁,,
TC-109,購物車模組,場景法,將單一商品加入購物車,顯示 Added! 並可於購物車看到,,
TC-110,購物車模組,場景法,加入多個不同商品,購物車列出所有商品,,
TC-111,購物車模組,場景法,同商品加入多次,數量正確累加,,
TC-112,購物車模組,判定表,購物車修改數量(經詳情頁重加),數量更新正確,,
TC-113,購物車模組,場景法,購物車移除單一商品 X,該商品自清單移除,,
TC-114,購物車模組,場景法,移除購物車所有商品,顯示空購物車,,
TC-115,購物車模組,邊界值,空購物車按 Proceed To Checkout,提示空車或無法結帳,,
TC-116,購物車模組,等價類,購物車顯示單價/數量/小計,金額計算正確,,
TC-117,購物車模組,判定表,總計 = 各項小計加總,Total 金額正確,,
TC-118,購物車模組,場景法,未登入點 Proceed To Checkout,提示註冊/登入,,
TC-119,購物車模組,場景法,登入後購物車 Proceed To Checkout,進入結帳位址確認頁,,
TC-120,購物車模組,場景法,加入商品後登出再登入,購物車內容依規則保留,,
TC-121,購物車模組,場景法,加入後重新整理頁面,購物車內容保留,,
TC-122,購物車模組,邊界值,加入大量商品(10+項),清單正確顯示不崩潰,,
TC-123,購物車模組,場景法,從搜尋結果加入購物車,成功加入,,
TC-124,購物車模組,場景法,從 Recommended items 加入,成功加入,,
TC-125,購物車模組,場景法,購物車 Continue Shopping,返回商品頁繼續購物,,
TC-126,購物車模組,等價類,購物車數量徽章更新,Cart 數字正確,,
TC-127,購物車模組,判定表,移除部分商品後總計重算,Total 正確更新,,
TC-128,購物車模組,相容性,行動裝置檢視購物車,版面正常,,
TC-129,購物車模組,場景法,詳情頁加入後彈窗 View Cart,正確導向購物車,,
TC-130,購物車模組,場景法,詳情頁加入後 Continue Shopping,關閉彈窗續逛,,
TC-131,購物車模組,等價類,購物車商品圖片/名稱正確,對應商品無誤,,
TC-132,購物車模組,場景法,刪除商品後再加入同商品,正確重新加入,,
TC-133,購物車模組,邊界值,極短時間連點加入,數量計算正確不重複異常,,
TC-134,購物車模組,場景法,結帳前於購物車檢視明細,明細與下單一致,,
TC-135,結帳與下單模組,場景法,登入後進入 Address Details 頁,顯示送貨/帳單地址,,
TC-136,結帳與下單模組,等價類,地址資訊與註冊資料相符,資料正確帶入,,
TC-137,結帳與下單模組,等價類,Review Your Order 顯示商品明細,明細與購物車一致,,
TC-138,結帳與下單模組,邊界值,訂單留言 Comment 空白,可繼續下單,,
TC-139,結帳與下單模組,等價類,訂單留言填寫文字,留言被保存送出,,
TC-140,結帳與下單模組,場景法,點 Place Order 進入付款頁,顯示 Payment 表單,,
TC-141,結帳與下單模組,等價類,填寫有效信用卡資訊送出,顯示訂單成功 placed successfully,,
TC-142,結帳與下單模組,邊界值,卡號空白送出,必填提示，無法下單,,
TC-143,結帳與下單模組,邊界值,卡號填非數字,驗證提示或拒絕,,
TC-144,結帳與下單模組,邊界值,CVC 空白送出,必填提示,,
TC-145,結帳與下單模組,邊界值,CVC 填超過 3-4 位,依規則處理,,
TC-146,結帳與下單模組,邊界值,到期月份空白,必填提示,,
TC-147,結帳與下單模組,邊界值,到期年份空白,必填提示,,
TC-148,結帳與下單模組,等價類,Name on Card 空白,必填提示,,
TC-149,結帳與下單模組,安全性,卡號欄輸入 SQL 注入字串,安全處理不外洩錯誤,,
TC-150,結帳與下單模組,安全性,Name on Card 輸入 XSS,被轉義不執行,,
TC-151,結帳與下單模組,場景法,下單成功後顯示 Order Placed!,顯示成功頁,,
TC-152,結帳與下單模組,場景法,下單成功 Download Invoice,可下載發票檔,,
TC-153,結帳與下單模組,場景法,下單後 Continue 返回首頁,正確返回,,
TC-154,結帳與下單模組,場景法,未登入直接進結帳流程,導向登入/註冊,,
TC-155,結帳與下單模組,場景法,結帳頁 Register / Login 連結,正確導向,,
TC-156,結帳與下單模組,判定表,結帳金額總計正確,Total 與購物車一致,,
TC-157,結帳與下單模組,場景法,下單後購物車清空,購物車回到空狀態,,
TC-158,結帳與下單模組,相容性,行動裝置完成結帳,流程可順利完成,,
TC-159,結帳與下單模組,場景法,結帳途中返回購物車修改,可返回並重新結帳,,
TC-160,結帳與下單模組,場景法,完整下單後刪除帳號清理,帳號刪除成功,,
TC-161,聯絡我們表單模組,場景法,進入 Contact Us 頁,顯示 Get In Touch 表單,,
TC-162,聯絡我們表單模組,等價類,填完整有效資料+訊息送出,顯示 Success! 已送出,,
TC-163,聯絡我們表單模組,邊界值,Name 空白送出,必填提示,,
TC-164,聯絡我們表單模組,邊界值,Email 空白送出,必填提示,,
TC-165,聯絡我們表單模組,等價類,Email 格式錯誤,Email 格式驗證提示,,
TC-166,聯絡我們表單模組,邊界值,Subject 空白送出,必填提示,,
TC-167,聯絡我們表單模組,邊界值,Message 空白送出,必填提示,,
TC-168,聯絡我們表單模組,邊界值,Message 輸入超長文字,正常處理不崩潰,,
TC-169,聯絡我們表單模組,等價類,上傳檔案 Choose File,檔案可選取附加,,
TC-170,聯絡我們表單模組,等價類,不上傳檔案直接送出,可成功送出,,
TC-171,聯絡我們表單模組,安全性,Name 欄輸入 XSS 字串,被轉義不執行,,
TC-172,聯絡我們表單模組,安全性,Message 欄輸入 SQL 注入,安全處理不外洩,,
TC-173,聯絡我們表單模組,等價類,Name 含中文字元,正確處理不亂碼,,
TC-174,聯絡我們表單模組,等價類,Message 含特殊字元/換行,正確保存送出,,
TC-175,聯絡我們表單模組,場景法,送出後彈出確認 OK 視窗,點 OK 完成提交,,
TC-176,聯絡我們表單模組,場景法,送出成功後 Home 返回首頁,正確返回,,
TC-177,聯絡我們表單模組,邊界值,Subject 單一字元,可接受送出,,
TC-178,聯絡我們表單模組,邊界值,上傳超大檔案,依限制提示或處理,,
TC-179,聯絡我們表單模組,等價類,上傳非預期副檔名,依規則處理,,
TC-180,聯絡我們表單模組,相容性,行動裝置填寫聯絡表單,版面正常,,
TC-181,聯絡我們表單模組,等價類,Email 前後含空白,trim 後處理或提示,,
TC-182,聯絡我們表單模組,場景法,重複送出同一表單,皆能正確處理,,
TC-183,訂閱與其他功能模組,等價類,頁尾輸入有效 Email 訂閱,顯示 successfully subscribed!,,
TC-184,訂閱與其他功能模組,邊界值,訂閱 Email 空白送出,必填提示，無法送出,,
TC-185,訂閱與其他功能模組,等價類,訂閱 Email 格式錯誤,格式驗證提示,,
TC-186,訂閱與其他功能模組,等價類,重複 Email 再次訂閱,正確處理(成功或提示),,
TC-187,訂閱與其他功能模組,安全性,訂閱欄輸入 XSS 字串,被轉義不執行,,
TC-188,訂閱與其他功能模組,場景法,首頁頁尾訂閱,訂閱成功,,
TC-189,訂閱與其他功能模組,場景法,購物車頁頁尾訂閱,訂閱成功,,
TC-190,訂閱與其他功能模組,場景法,點右下 Scroll Up 箭頭,頁面捲回頂部,,
TC-191,訂閱與其他功能模組,場景法,進入 Test Cases 頁,顯示測試案例清單頁,,
TC-192,訂閱與其他功能模組,場景法,進入 API Testing 頁,顯示 API List 頁,,
TC-193,訂閱與其他功能模組,場景法,進入 Video Tutorials,導向教學影片,,
TC-194,訂閱與其他功能模組,場景法,點頂部導覽 Home,返回首頁,,
TC-195,訂閱與其他功能模組,場景法,點導覽 Products,進入商品頁,,
TC-196,訂閱與其他功能模組,場景法,點導覽 Cart,進入購物車頁,,
TC-197,訂閱與其他功能模組,場景法,點導覽 Signup / Login,進入登入頁,,
TC-198,訂閱與其他功能模組,場景法,點導覽 Contact us,進入聯絡頁,,
TC-199,訂閱與其他功能模組,相容性,行動裝置檢視首頁 RWD,版面正常自適應,,
TC-200,訂閱與其他功能模組,相容性,Firefox 檢視首頁,顯示正常,,
TC-201,訂閱與其他功能模組,等價類,首頁輪播圖正常顯示,圖片不破圖,,
TC-202,訂閱與其他功能模組,場景法,頁尾連結可正常點擊,導向正確頁面,,
TC-203,訂閱與其他功能模組,等價類,訂閱 Email 含中文網域,依規則處理,,
TC-204,訂閱與其他功能模組,場景法,登入狀態下訂閱電子報,訂閱成功,,
TC-205,訂閱與其他功能模組,場景法,未登入狀態下訂閱電子報,訂閱成功,,
