编号,模块,测试方法,输入/操作,预期输出,真实输出,测试结论
TC-098,商品浏览与详情模块,场景法,撰写商品评论 Write Your Review,提交后显示成功消息,,
TC-099,商品浏览与详情模块,等价类,评论 Name/Email/Review 空白提交,必填提示,,
TC-100,商品浏览与详情模块,安全性,评论栏输入 XSS 字串,被转义不执行,,
TC-101,商品浏览与详情模块,场景法,详情页回上一页返回列表,正确返回,,
TC-102,商品浏览与详情模块,场景法,商品列表滚动加载更多,商品正常显示,,
TC-103,商品浏览与详情模块,兼容性,移动设备浏览商品列表,版面 RWD 正常,,
TC-104,商品浏览与详情模块,场景法,点 View Cart 链接,进入购物车页,,
TC-105,商品浏览与详情模块,等价类,价格显示含货币符号,格式正确,,
TC-106,商品浏览与详情模块,场景法,Recommended items 区块加入购物车,成功加入,,
TC-107,商品浏览与详情模块,场景法,首页轮播/分类导航链接,可正常导航,,
TC-108,商品浏览与详情模块,场景法,Home 链接返回首页,正确返回首页,,
TC-109,购物车模块,场景法,将单一商品加入购物车,显示 Added! 并可于购物车看到,,
TC-110,购物车模块,场景法,加入多个不同商品,购物车列出所有商品,,
TC-111,购物车模块,场景法,同商品加入多次,数量正确累加,,
TC-112,购物车模块,判定表,购物车修改数量(经详情页重加),数量更新正确,,
TC-113,购物车模块,场景法,购物车移除单一商品 X,该商品自清单移除,,
TC-114,购物车模块,场景法,移除购物车所有商品,显示空购物车,,
TC-115,购物车模块,边界值,空购物车按 Proceed To Checkout,提示空车或无法结账,,
TC-116,购物车模块,等价类,购物车显示单价/数量/小计,金额计算正确,,
TC-117,购物车模块,判定表,总计 = 各项小计加总,Total 金额正确,,
TC-118,购物车模块,场景法,未登录点 Proceed To Checkout,提示注册/登录,,
TC-119,购物车模块,场景法,登录后购物车 Proceed To Checkout,进入结账地址确认页,,
TC-120,购物车模块,场景法,加入商品后登出再登录,购物车内容依规则保留,,
TC-121,购物车模块,场景法,加入后刷新页面,购物车内容保留,,
TC-122,购物车模块,边界值,加入大量商品(10+项),清单正确显示不崩溃,,
TC-123,购物车模块,场景法,从搜索结果加入购物车,成功加入,,
TC-124,购物车模块,场景法,从 Recommended items 加入,成功加入,,
TC-125,购物车模块,场景法,购物车 Continue Shopping,返回商品页继续购物,,
TC-126,购物车模块,等价类,购物车数量徽章更新,Cart 数字正确,,
TC-127,购物车模块,判定表,移除部分商品后总计重算,Total 正确更新,,
TC-128,购物车模块,兼容性,移动设备查看购物车,版面正常,,
TC-129,购物车模块,场景法,详情页加入后弹窗 View Cart,正确导向购物车,,
TC-130,购物车模块,场景法,详情页加入后 Continue Shopping,关闭弹窗继续浏览,,
TC-131,购物车模块,等价类,购物车商品图片/名称正确,对应商品无误,,
TC-132,购物车模块,场景法,删除商品后再加入同商品,正确重新加入,,
TC-133,购物车模块,边界值,极短时间连点加入,数量计算正确不重复异常,,
TC-134,购物车模块,场景法,结账前于购物车查看明细,明细与下单一致,,
TC-135,结账与下单模块,场景法,登录后进入 Address Details 页,显示送货/账单地址,,
TC-136,结账与下单模块,等价类,地址信息与注册资料相符,资料正确带入,,
TC-137,结账与下单模块,等价类,Review Your Order 显示商品明细,明细与购物车一致,,
TC-138,结账与下单模块,边界值,订单留言 Comment 空白,可继续下单,,
TC-139,结账与下单模块,等价类,订单留言填写文字,留言被保存提交,,
TC-140,结账与下单模块,场景法,点 Place Order 进入付款页,显示 Payment 表单,,
TC-141,结账与下单模块,等价类,填写有效信用卡信息提交,显示订单成功 placed successfully,,
TC-142,结账与下单模块,边界值,卡号空白提交,必填提示，无法下单,,
TC-143,结账与下单模块,边界值,卡号填非数字,验证提示或拒绝,,
TC-144,结账与下单模块,边界值,CVC 空白提交,必填提示,,
TC-145,结账与下单模块,边界值,CVC 填超过 3-4 位,依规则处理,,
TC-146,结账与下单模块,边界值,到期月份空白,必填提示,,
TC-147,结账与下单模块,边界值,到期年份空白,必填提示,,
TC-148,结账与下单模块,等价类,Name on Card 空白,必填提示,,
TC-149,结账与下单模块,安全性,卡号栏输入 SQL 注入字串,安全处理不泄露错误,,
TC-150,结账与下单模块,安全性,Name on Card 输入 XSS,被转义不执行,,
TC-151,结账与下单模块,场景法,下单成功后显示 Order Placed!,显示成功页,,
TC-152,结账与下单模块,场景法,下单成功 Download Invoice,可下载发票文件,,
TC-153,结账与下单模块,场景法,下单后 Continue 返回首页,正确返回,,
TC-154,结账与下单模块,场景法,未登录直接进结账流程,导向登录/注册,,
TC-155,结账与下单模块,场景法,结账页 Register / Login 链接,正确导向,,
TC-156,结账与下单模块,判定表,结账金额总计正确,Total 与购物车一致,,
TC-157,结账与下单模块,场景法,下单后购物车清空,购物车回到空状态,,
TC-158,结账与下单模块,兼容性,移动设备完成结账,流程可顺利完成,,
TC-159,结账与下单模块,场景法,结账途中返回购物车修改,可返回并重新结账,,
TC-160,结账与下单模块,场景法,完整下单后删除账号清理,账号删除成功,,
TC-161,联系我们表单模块,场景法,进入 Contact Us 页,显示 Get In Touch 表单,,
TC-162,联系我们表单模块,等价类,填完整有效资料+消息提交,显示 Success! 已提交,,
TC-163,联系我们表单模块,边界值,Name 空白提交,必填提示,,
TC-164,联系我们表单模块,边界值,Email 空白提交,必填提示,,
TC-165,联系我们表单模块,等价类,Email 格式错误,Email 格式验证提示,,
TC-166,联系我们表单模块,边界值,Subject 空白提交,必填提示,,
TC-167,联系我们表单模块,边界值,Message 空白提交,必填提示,,
TC-168,联系我们表单模块,边界值,Message 输入超长文字,正常处理不崩溃,,
TC-169,联系我们表单模块,等价类,上传文件 Choose File,文件可选取附加,,
TC-170,联系我们表单模块,等价类,不上传文件直接提交,可成功提交,,
TC-171,联系我们表单模块,安全性,Name 栏输入 XSS 字串,被转义不执行,,
TC-172,联系我们表单模块,安全性,Message 栏输入 SQL 注入,安全处理不泄露,,
TC-173,联系我们表单模块,等价类,Name 含中文字符,正确处理不乱码,,
TC-174,联系我们表单模块,等价类,Message 含特殊字符/换行,正确保存提交,,
TC-175,联系我们表单模块,场景法,提交后弹出确认 OK 窗口,点 OK 完成提交,,
TC-176,联系我们表单模块,场景法,提交成功后 Home 返回首页,正确返回,,
TC-177,联系我们表单模块,边界值,Subject 单一字符,可接受提交,,
TC-178,联系我们表单模块,边界值,上传超大文件,依限制提示或处理,,
TC-179,联系我们表单模块,等价类,上传非预期扩展名,依规则处理,,
TC-180,联系我们表单模块,兼容性,移动设备填写联系表单,版面正常,,
TC-181,联系我们表单模块,等价类,Email 前后含空白,trim 后处理或提示,,
TC-182,联系我们表单模块,场景法,重复提交同一表单,皆能正确处理,,
TC-183,订阅与其他功能模块,等价类,页脚输入有效 Email 订阅,显示 successfully subscribed!,,
TC-184,订阅与其他功能模块,边界值,订阅 Email 空白提交,必填提示，无法提交,,
TC-185,订阅与其他功能模块,等价类,订阅 Email 格式错误,格式验证提示,,
TC-186,订阅与其他功能模块,等价类,重复 Email 再次订阅,正确处理(成功或提示),,
TC-187,订阅与其他功能模块,安全性,订阅栏输入 XSS 字串,被转义不执行,,
TC-188,订阅与其他功能模块,场景法,首页页脚订阅,订阅成功,,
TC-189,订阅与其他功能模块,场景法,购物车页页脚订阅,订阅成功,,
TC-190,订阅与其他功能模块,场景法,点右下 Scroll Up 箭头,页面滚回顶部,,
TC-191,订阅与其他功能模块,场景法,进入 Test Cases 页,显示测试案例清单页,,
TC-192,订阅与其他功能模块,场景法,进入 API Testing 页,显示 API List 页,,
TC-193,订阅与其他功能模块,场景法,进入 Video Tutorials,导向教学视频,,
TC-194,订阅与其他功能模块,场景法,点顶部导航 Home,返回首页,,
TC-195,订阅与其他功能模块,场景法,点导航 Products,进入商品页,,
TC-196,订阅与其他功能模块,场景法,点导航 Cart,进入购物车页,,
TC-197,订阅与其他功能模块,场景法,点导航 Signup / Login,进入登录页,,
TC-198,订阅与其他功能模块,场景法,点导航 Contact us,进入联系页,,
TC-199,订阅与其他功能模块,兼容性,移动设备查看首页 RWD,版面正常自适应,,
TC-200,订阅与其他功能模块,兼容性,Firefox 查看首页,显示正常,,
TC-201,订阅与其他功能模块,等价类,首页轮播图正常显示,图片不破图,,
TC-202,订阅与其他功能模块,场景法,页脚链接可正常点击,导向正确页面,,
TC-203,订阅与其他功能模块,等价类,订阅 Email 含中文域名,依规则处理,,
TC-204,订阅与其他功能模块,场景法,登录状态下订阅电子报,订阅成功,,
TC-205,订阅与其他功能模块,场景法,未登录状态下订阅电子报,订阅成功,,
